"Thread","Sentiment","Type","Year"
1,146,"vent",2009
2,-16,"vent",2009
3,30,"vent",2009
4,14,"vent",2009
5,16,"vent",2009
6,-2,"vent",2009
7,7,"vent",2009
8,2,"vent",2009
9,5,"vent",2009
10,37,"vent",2009
11,-25,"vent",2009
12,5,"vent",2009
13,-6,"vent",2009
14,71,"vent",2009
15,50,"vent",2009
16,7,"vent",2009
17,16,"vent",2009
18,-14,"vent",2009
19,7,"vent",2009
20,-22,"vent",2009
21,6,"vent",2009
22,-10,"vent",2009
23,69,"vent",2009
24,-14,"vent",2009
25,1,"vent",2009
26,1,"vent",2009
27,-37,"vent",2009
29,-37,"vent",2009
30,-8,"vent",2009
31,62,"vent",2009
32,6,"vent",2009
33,0,"vent",2009
34,-4,"vent",2009
35,19,"vent",2009
36,-14,"vent",2009
37,13,"vent",2009
38,-15,"vent",2009
39,70,"vent",2009
40,-5,"vent",2009
41,-3,"vent",2009
42,2,"vent",2009
43,60,"vent",2009
44,-13,"vent",2009
45,13,"vent",2009
46,4,"vent",2009
47,39,"vent",2009
48,-1,"vent",2009
49,-21,"vent",2009
50,7,"vent",2009
51,1,"vent",2009
52,-17,"vent",2009
53,-1,"vent",2009
54,40,"vent",2009
55,27,"vent",2009
56,2,"vent",2009
57,-18,"vent",2009
58,39,"vent",2009
59,54,"vent",2009
60,1,"vent",2009
61,17,"vent",2009
62,21,"vent",2009
63,6,"vent",2009
64,23,"vent",2009
65,-7,"vent",2009
66,10,"vent",2009
67,23,"vent",2009
68,27,"vent",2009
69,45,"vent",2009
70,-1,"vent",2009
71,-12,"vent",2009
1,2,"disc",2009
2,5,"disc",2009
3,24,"disc",2009
4,3,"disc",2009
5,-1,"disc",2009
6,4,"disc",2009
7,14,"disc",2009
8,-3,"disc",2009
9,26,"disc",2009
10,2,"disc",2009
12,1,"disc",2009
13,1,"disc",2009
14,50,"disc",2009
15,1,"disc",2009
16,29,"disc",2009
17,10,"disc",2009
18,-1,"disc",2009
19,6,"disc",2009
20,43,"disc",2009
21,1,"disc",2009
23,105,"disc",2009
25,1,"disc",2009
26,27,"disc",2009
27,3,"disc",2009
29,-6,"disc",2009
30,10,"disc",2009
31,3,"disc",2009
32,-3,"disc",2009
34,-3,"disc",2009
35,-14,"disc",2009
36,7,"disc",2009
37,8,"disc",2009
38,2,"disc",2009
39,-3,"disc",2009
40,-3,"disc",2009
41,3,"disc",2009
42,13,"disc",2009
43,8,"disc",2009
44,20,"disc",2009
45,1,"disc",2009
